"firm","link","business","companyintroduction","companyname","province","city","registeredcapital","datacertification","securitydeposit","businessmode","businessscope","productssold","productspurchased","mainindustry","companytype","companysize","registrationyear","component","service","endproduct","city_eng","province_eng"
"广东飞轮科技股份有限公司","https://www.81uav.cn/com/feiluntoys/","服务范围：制造、加工、销售：塑胶制品，工艺美术品(不含金银饰品)；电子产品，微机芯片，计算机网络系统集成，软件开发，智能化玩具开发生产；销售：塑料原料，化工原料，（不含化学危险品）；货物进出口、技术进出口。","广东飞轮科技股份有限公司成立于2003年3月，前身为成立于1991年的汕头市飞轮塑胶厂。公司现拥有40000平方米现代化标准厂房，厂区配套大型现代化先进生产设备，企业员工总人数近千人，年销售额4亿元。是一家集产品研发、生产、销售为一体的高科技、文化创意玩具企业。 飞轮股份致力于玩具行业20余年，主要产品有海陆空全系列航模模型、文化创意玩具、和传统玩具三大产品线 。 产品质量和品牌口碑在市场上均有较高的美誉度。公司通过了ISO9001：2008国际质量管理体系认证，并荣获<<出口质量许可证书>>。同时，实施国家强制性3C质量管理体系，内销产品全部通过3c认证，外销产品通过欧盟的ROHS认证和EN-71、EN-62115、R&TTE等CE认证，美国的ASTM-F963、 FCC等检测认证。 公司目前已经形成内外销并重的市场格局，建立起完善的内外销渠道。公司拥有自营进出口权，目前外销客户遍及全球，形成了一批稳固的海外客户群。同时，公司在国内市场，也已建立起完善的商超供销渠道。与全球前三大连锁零售商沃尔玛、家乐福、乐购达成直供合作的同时，也与华润 、卜蜂莲花、世纪联华、易买得、大润发等全国大型连锁超市进行了深入合作，门店近2000家，并仍在继续增长。与此同时，在流通和电商渠道，飞轮股份也在全国的大部分省市建立了完善的销售网络。 飞轮科技是高新技术企业，是经广东省科学技术厅认定为“国际科技合作基地”，同时，公司还获得汕头市认定的”工程技术研究开发中心“和”广东省企业技术中心”称号，是汕头市知识产权优势培育企业。目前为止，公司共获得专利授权100多项。2015年，“飞轮”品牌商标被评为“中国驰名商标”。 优秀的管理、研发、质检和营销团队，完善的内外销渠道，不断创新技术提高质量使飞轮股份在行业竞争中不断发展，逐渐成为一流的玩具、模型企业。","广东飞轮科技股份有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","制造、加工、销售：塑胶制品，工艺美术品(不含金银饰品)；电子产品，微机芯片，计算机网络系统集成，软件开发，智能化玩具开发生产；销售：塑料原料，化工原料，（不含化学危险品）；货物进出口、技术进出口。","Not available","Not available","无人机整机","企业单位 ()",NA,2003,0,0,1,NA,"hillsides"
"深圳市矩阵动力科技开发有限公司","https://www.81uav.cn/com/aiframe1/","服务范围：从事信息技术、机器人技术、无人机技术、电子产品、生物技术、化工产品、建筑建材、机械设备的技术开发、技术咨询、技术服务；国内贸易;货物及技术进出口。^民用爆炸物品的生产、销售。","深圳市矩阵动力科技开发有限公司是一家以研发机器人相关技术为主的机器人技术公司坐落于科技创新之都深圳。 2014年我司在全球最大的众筹平台kickstarter上完成了一次成功的众筹，产品受到了国内外用户的广泛欢迎。在2015年1月，李克强总理在深圳察柴火创客空间考察期间对我司团队和产品给予了高度肯定! 深圳市矩阵动力科技开发有限公司迎合国家大众创业万众创新政策，为渴求创新追求卓越的一代年轻人提供更智能，更亲民的机器人。","深圳市矩阵动力科技开发有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","从事信息技术、机器人技术、无人机技术、电子产品、生物技术、化工产品、建筑建材、机械设备的技术开发、技术咨询、技术服务；国内贸易;货物及技术进出口。^民用爆炸物品的生产、销售。","Not available","Not available","无人机整机 无人机整机","企业单位 ()",NA,2014,0,0,1,NA,"hillsides"
"览意科技（上海）有限公司","https://www.81uav.cn/com/elanview/","服务范围：事计算机软件、网络科技、安防设备、航空科技领域内的技术开发、技术咨询、技术转让、技术服务，计算机、软件及辅助设备（除计算机信息系统安全专用产品）、电子产品的销售，从事货物及技术的进出口业务","览意科技(上海)有限公司是一家以创新为宗旨，以用户体验为核心，致力于为航拍和民用无人机产品提供全方位解决方案的高新企业。其团队拥有丰富的航模、无人机研发及生产经验，具有完整的软硬件设计能力。系统所有的飞行控制算法、图像处理、地面站智能控制系统、无线传输协议及编程过程均由团队自主研发完成，有自主的知识产权，有优秀的空气动力学设计经验 。 公司旗下的Cicada产品，是第一款面向电子消费类的，易于携带、能快速入门、便于操作的飞行相机。 作为一支充满活力及包容性的团队，我们愿意和世界范围内的能人志士精诚合作， 建立一个更加强大健康的览意商业圈，服务于市场，服务于客户。","览意科技（上海）有限公司","上海","上海","未填写",NA,"已缴纳 0.00 元","Not available","事计算机软件、网络科技、安防设备、航空科技领域内的技术开发、技术咨询、技术转让、技术服务，计算机、软件及辅助设备（除计算机信息系统安全专用产品）、电子产品的销售，从事货物及技术的进出口业务","Not available","Not available","无人机整机","企业单位 ()",NA,2014,0,0,1,"Shanghai","Shanghai"
"烟台郎欣航空技术有限公司","https://www.81uav.cn/com/ythangkong/","服务范围：伺服电机研发、组装、销售,伺服控制系统研发、组装、销售,无人机飞控系统、无人机地面站系统研发及组装、销售,无人机整机及材料、零件的研发、销售,无人机模型及智能化电子产品的组装。","朗欣航空技术是年轻而优秀的技术研发企业，“拼搏、创新——打造核心竞争力”是公司的战略方针。朗欣航空技术是专业研发无人机的研发企业，拥有无人机飞控自主知识产权、无人机地面工作站自主知识产权、全系列的多旋翼无人机自主知识产权。拥有多旋翼无人机精度北斗导航、无人机电调、电机、机架材料等自主研发、生产能力。现公司正积极对无人机项目进行量产设计和转化，对无人机产业将分为3大块方向： 1、多旋翼无人机应用的飞控系统、伺服电机、伺服控制系统产业等。 2、无人机的电调、机架材料等配套产品及无人机整机产业。 3、无人机驾驶培训产业。 公司先后成为国家电网入网企业、国家电网新疆公司合作伙伴、国家电网四川公司合作伙伴、国家电网黑龙江公司合作伙伴，并与南瑞集团、深圳南瑞，南京电研、科大智能、西安西瑞、华电瑞博、东方电子、顿汉布什等企业深入合作。与海航、南航、北京航空航天大学等10多所高校建立合作关系。在农业、林业减灾应急、电力巡线、视觉影像、交通设施等多个行业开展研究与应用。特别是国家电网的高压线路巡检无人机和农业植保产品的服务领域。累计工程量达50多项，高压110KV变压站20多项，并且曾参与起草国家电网公司的视频及辅助系统A/B结构规范，参与新疆、四川等省电力公司视频及辅助系统的设计、验收规范的起草，参与国家西昌卫星发射中心仓储及场地视频监测系统的设计及施工，积累大量的设计、施工、电器、机器视觉经验。","烟台郎欣航空技术有限公司","山东","","未填写",NA,"已缴纳 0.00 元","Not available","伺服电机研发、组装、销售,伺服控制系统研发、组装、销售,无人机飞控系统、无人机地面站系统研发及组装、销售,无人机整机及材料、零件的研发、销售,无人机模型及智能化电子产品的组装。","Not available","Not available","无人机整机","企业单位 ()",NA,2015,0,0,1,NA,"Shandong"
"北京零零无限科技有限公司","https://www.81uav.cn/com/gethover/","服务范围：计算机软件、网络技术和通讯技术的开发，技术转让、技术服务、技术培训；数据处理，市场营销策划，经济贸易咨询。","零零无限科技致力于打造具有世界级领先水平的人工智能硬件设备以及机器视觉与计算机高精控制的解决方案，打造全球领先的计算机高精控制技术和人机交互方案， 长期目标将建立人工智能产业化基地，聚集多类型智慧行业企业，将高级别人工智能技术逐步推广运用到智慧产业，形成人工智能生态产业链。我们是工程师、科学家，但我们更是发明者、创造者。我们以最尖端的技术去实现最大胆的想象，并以此改善每一个人的生活。","北京零零无限科技有限公司","北京","北京","未填写",NA,"已缴纳 0.00 元","Not available","计算机软件、网络技术和通讯技术的开发，技术转让、技术服务、技术培训；数据处理，市场营销策划，经济贸易咨询。","Not available","Not available","无人机整机","企业单位 ()",NA,2014,0,0,1,"Beijing, capital of People's Republic of China","Beijing, capital of People's Republic of China"
"普宙飞行器科技（深圳）有限公司","https://www.81uav.cn/com/luckyli2017/","服务范围：无人机研发生产销售","普宙科技是一家集无人机研发、生产、销售、运维和数据运营于一体的高科技企业，公司成立于2015年，总部位于武汉，营销中心遍布全球 30多个城市，现有员工400余人，其中60%以上为研发人员。 作为专业级无人机领航者，普宙科技具备无人机全产业链研发能力，拥有丰富的无人机产品线，在无人机、无人机自动机库、智能载荷、软件平台和数据运营等领域不断革新产品和解决方案，是业内极少数掌握无人机全系统自主知识产权的企业，现已为全球多行业、多领域客户提供“1+N”行业融合解决方案，即1个通用型专业级无人机平台+N个行业的深度定制化解决方案，为各行业高效赋能。 未来，普宙科技将基于无人机、5G基础设施、大数据、云平台等技术，不断完善产品和服务，与全球合作伙伴携手开创低空共享经济时代。","普宙飞行器科技（深圳）有限公司","湖北","武汉","未填写","企业资料通过认证","已缴纳 0.00 元","制造商,贸易商,服务商","无人机研发生产销售","普宙科技S400无人机 |普宙科技K01无人机自动机库","Not available","无人机整机 / 航拍无人机 无人机整机 / 无人机配件 / 电源及充电设备 无人机整机 / 无人机配件 / 导航与定位","企业单位 (制造商,贸易商,服务商)","100-499人",2015,1,0,0,"Wuhan city on Changjiang, subprovincial city and capital of Hubei province","Hubei"
"深圳市哈博森智能股份有限公司","https://www.81uav.cn/com/hubsan/","服务范围：研发、生产、销售无人机","深圳市哈博森科技有限公司创立于2003年，本着“引领潮流，自主创新”的理念，现已发展成为集研发，生产，销售，服务为一体的模型、玩具类产品企业。 公司研发部位于深圳市CBD中心区——福田区，产品远销欧美，东南亚等世界各地，不断开拓创新;以技术为核心、视质量为生命、在业界赢得了良好的口碑以及树立了良好的品牌。 欢迎爱好航模的，热爱设计 ，年轻的，具有团队合作精神，具有较强的学习能力，沟通能力和协调能力的人才加入我们这个大家庭!共创航模事业。 公司生产的全系列飞机航模集倒飞、特技飞行、航线飞行、航拍、第一即时视频等高新尖端技术性能为一体，拥有自主知识产权，远销欧美、东南亚等世界各地，以技术为核心、视质量为生命、奉用户为上帝，在业界赢得了良好的口碑和声誉。","深圳市哈博森智能股份有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","研发、生产、销售无人机","Not available","Not available","无人机整机","企业单位 ()",NA,2003,0,0,1,NA,"hillsides"
"深圳市蓝翔航模有限公司","https://www.81uav.cn/com/lxhm/","服务范围：研发、生产、销售飞机模型","深圳市蓝翔航模有限公司是一家专业从事摇控飞机模型设计开发、生产和销售的专业公司。公司拥有一群热衷于飞机模型事业的专业研发，生产技术人员、有极强的研发能力. 专业开发高难度飞机模型，我们通过科学的工作流程，结合长期的实践，不断的开拓进取，根据客户设计理念，制造出客户满意的飞机模型;本公司凭借优异的产品质量和极高性价比在激烈的国内、国际市场竞争中不断向前发展，也使得本公司为中国模型事业发展贡献出自己的一份力量。 深圳市蓝翔航模有限公司坚持以‘质量’为根本;以‘文化’为底蕴的准则，将设计理念与精湛技术融合成一个整体，以此回报客户对我们的支持和信任。以朝气蓬勃而又富有开拓精神的步伐，在品牌经营和战略扩张中用一个更大的舞台充分展示自己、成就客户，也成就了“蓝翔”的未来。 公司自成立以来，通过不断的努力，吸收国内外先进的生产工艺和创新理念，先后自主开发出有极高性价比，收落架带盖，投掷放炸弹高仿真F-117轰炸机、世界上最快的SR-71黑鸟侦察机、世界上最昂贵的B-2隐形轰炸机、带矢量喷口，能飞3D动作，动力十分强劲的SU-47，飞行性能非常稳定的F-22战斗机、带弹射座舱，彩烟功能的Mig-29、A-10、F-18等双70飞机;动力十足，可折叠机翼的F4U、F4F、P40、B-25螺旋桨飞机，带电动刹车功能的YF-23，现在又研发出高性能的俄罗斯第五代战斗机T50和外观精美的“女巫”滑翔机。","深圳市蓝翔航模有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","研发、生产、销售飞机模型","Not available","Not available","无人机整机","企业单位 ()",NA,2008,0,0,1,NA,"hillsides"
"田屋科技","https://www.81uav.cn/com/avix-tech/","服务范围：新机制造商","創立於2011年,田屋科技由來自台灣與日本的專業技術團隊所組成,專注於小型無人駕駛/無線遙控飛行系統的設計、研發、整合與生產製造。 創立於2011年,田屋科技由來自台灣與日本的專業技術團隊所組成,專注於小型無人駕駛/無線遙控飛行系統的設計、研發、整合與生產製造。 深厚的專業素養,豐實的實務經驗,全方位的整合技術與創新的設計思維,田屋科技所設計開發生產的產品,在業界總是居於前導的地位。目前為全球知名遙控模型品牌客戶所設計生產的遙控直昇機與相關電子產品,已行銷於全球的遙控模型市場,並廣受客戶與遙控模型玩家所肯定與喜愛 田屋科技是一間年輕的公司,但憑藉著我們團隊深耕多年的專業經驗,對航天的熱情,以及對技術創新的堅持,在小型無人駕駛/無線遙控飛行的領域,無論是自有商品的供應,或是客製化專案合作,田屋科技必能提供你超乎想像的價值!!","田屋科技","台湾","","未填写",NA,"已缴纳 0.00 元","Not available","新机制造商","Not available","Not available","无人机整机","企业单位 ()",NA,2011,0,0,1,NA,"Taiwanese"
"大佥国际有限公司","https://www.81uav.cn/com/contact/","服务范围：销售无人机","大佥国际有限公司(DACOSMO CO.，LTD)由中国大陆、香港和台湾共同投资，于2012年1月在香港注资成立。公司成员包括有三十多年国际贸易管理经验、工程管理和市场行销管理的高级专业人士，以及具有广泛国际交流经验的专业技能的年轻团队。 公司现时经营的产品有瑞士SenseFly公司的无人机(Swinglet Cam、eBee、eBee AG、eBee RTK)、瑞士FOVEX公司的佛纬斯三维测量相机(FOVEX 3D Measurument)、意大利MENCE(门兹)公司的相关软件以及瑞士SEIT ROUNDSHOT公司的LIVECAM(徕康)全景相机等。 公司的目的是为客户甄选最合适的产品和服务。 公司的核心价值：信任、责任、专业。","大佥国际有限公司","香港","","未填写",NA,"已缴纳 0.00 元","Not available","销售无人机","Not available","Not available","无人机整机","企业单位 ()",NA,2012,0,0,1,NA,"fact"
"北京云天世纪航空科技股份有限公司","https://www.81uav.cn/com/yutian/","服务范围：研发、生产、销售无人机","北京云天世纪航空科技股份有限公司成立于2015年初， 是国内新型技术型企业;在河北省固安县航天导航产业港拥有3000平的集研发生产培训展示无人机基地; 依托整合强大的国内外无人机专家及技术和市场团队，致力于专业级行业应用类的无人机研发生产、销售、培训、技术与飞行服务的全产业链高科技企业; 主要产品包括固定翼无人机系列，多旋翼无人机系列和大载荷无人直升机系列近10种机型。涉及电力巡线、国土测绘、救灾预警、安防监控、影视航拍、农林植保等众多领域，拥有国家专利等认证。在营销网络上，公司建成了初步完善的复合型营销体系; 公司愿景：致力于打造中国最具影响力，专业领先的无人机系统解决方案供应商!","北京云天世纪航空科技股份有限公司","北京","北京","未填写",NA,"已缴纳 0.00 元","Not available","研发、生产、销售无人机","Not available","Not available","无人机整机","企业单位 ()",NA,2015,0,0,1,"Beijing, capital of People's Republic of China","Beijing, capital of People's Republic of China"
"西安德润航空科技有限公司","https://www.81uav.cn/com/derunaero/","服务范围：研发、生产、销售无人机","西安德润航空科技有限公司位于陕西省西安市阎良区。公司注册资金2000万,成立于2015年2月25日。是一家集专业航空农林装备研发、航空农林机械技术培训、无人机平台技术服务、农林业病虫害防治服务为一体的综合性航空农林植保公司。 西安德润航空科技有限公司致力于无人机操作手资格培训，无人机自主研发、制造、装配、调试。航空农林装备研发、销售;无人机技术研发及技术服务、推广服务;农林机械销售及操作服务，农林业病虫害防治服务，农药喷洒技术开发、技术推广、技术咨询服务;空中摄影、航测服务;通讯器材、电子产品、机械设备、复合材料、金属材料开发;计算机软件开发及辅助设备销售。 西安德润航空科技有限公司与西安航空职业技术学院以校企合作的模式签订了战略合同，拟在西安航空职业技术学院建设农业植保无人机培训基地。","西安德润航空科技有限公司","陕西","","未填写",NA,"已缴纳 0.00 元","Not available","研发、生产、销售无人机","Not available","Not available","无人机整机","企业单位 ()",NA,2015,0,0,1,NA,"Shaanxi"
"东莞市长昇无人机技术应用有限公司","https://www.81uav.cn/com/derekbcn/","服务范围：无人机碳纤维机壳、螺旋桨","我公司碳纤维机壳碳纤维一体成型，设计结构合理、防火防水防尘、适用于警用、石油、测绘、电力、消防行业。我公司诚信经营、品质保证、服务好。真诚希望能与广大整机朋友合作，共赢且推动中国无人机行业及技术发展和进步。","东莞市长昇无人机技术应用有限公司","广东","东莞","50万人民币",NA,"已缴纳 0.00 元","制造商,贸易商","无人机碳纤维机壳、螺旋桨","无人机机壳、螺旋桨","Not available","无人机整机 / 无人机配件 / 结构与材料 无人机整机 / 无人机配件 / 电池 无人机整机 / 无人机配件 / 螺旋桨","企业单位 (制造商,贸易商)","1-49人",2017,1,0,0,"Dongguan prefecture level city in Guangdong province","hillsides"
"郑州兰旗航空器材制造有限公司","https://www.81uav.cn/com/launchmodel1/","服务范围：研发、生产、销售无人机","郑州兰旗航空器材制造有限公司创建于1998年，是一家集无人机研发、生产、销售、培训、服务为一体的综合型公司。在多年的无人机产品的研发和推广过程中，凭借强大的人才优势，先进的设备，丰富的经验，树立了良好的企业形象。 我公司主要生产高技术含量的复合材料无人机机体以及供应推广无人机智能控制系统。公司下设有市场业务部、新品研发部、技术部、模具开发部、生产部、质检部、后勤保障部、各机型生产车间及后期装配发货车间等。我公司的设计师拥有多年的无人机设计经验，可以在短时间内根据客户和市场的需要，运用多种高端三维设计软件，全数字化快速高效设计出符合客户需要的产品。我公司现可生产固定翼无人机系列和旋转翼无人机系列等几十种机型，可广泛应用于航拍测绘、电力巡线、环境监测、防火救灾等众多领域。随着低空领域的开放，无人机将来在这些领域一定会扮演着重要的角色。 凭借过硬的质量、至诚至信的服务，在同行业中脱颖而出，与国内外多家科研单位建立了良好的合作关系。2008年公司与奥运会安保部门配合，为北京奥运安保需要提供了6架无人驾驶巡查机，在技术和设备上为北京奥运会的安全提供了保障，并出色圆满的完成了安保任务，得到了奥运安保部门的肯定。2010年，公司为军方设计研发了新一代双功能双体无人驾驶飞机，性能优越，质量可靠，经过军方一线部队的实际测控，完全达到了部队演习训练的需要，是军方较为理想的一款演习训练无人驾驶飞机，同时也填补了国内此类无人机的空白。近年我公司与中国商飞公司合作开发了XX飞机。中科航天公司也委托我公司开发研制XX无人机机体，样品已成功交付。 我公司本着优势互补的原则，与各方进行全面合作，建立了长期的合作伙伴关系，力争使无人机的生产制造成规模化、产业化。 我公司是专门生产各种无人机的厂家，拥有多种型号的无人机。","郑州兰旗航空器材制造有限公司","河南","郑州","未填写",NA,"已缴纳 0.00 元","Not available","研发、生产、销售无人机","Not available","Not available","无人机整机","企业单位 ()",NA,1998,0,0,1,"Zhengzhou prefecture level city and capital of Henan Province in central China","He'nan Mengguzu autonomous county in Qinghai"
"深圳市中航佳智能科技有限公司","https://www.81uav.cn/com/goodrone/","服务范围：研发、生产、销售无人机","深圳市中航佳智能科技有限公司，成立于2010年，注册资本1000万元，其前身为深圳市高端玩具有限公司，是一家以技术创新为导向的科技公司，是国内专业从事无人机研发、生产、销售、服务为一体的高新科技企业，产品主要出口销往美国，欧洲，南美等国家。坐落于有“中国硅谷”之称的美丽城市——深圳。 公司拥有大型通用厂房、办公楼、员工宿舍，配备先进的科研设备、生产设备和检测设备，建立专门的产品开发设计机构及装配中心，公司现有员工500人，核心研发团队由5名硕士、12名本科学历的精英组成，公司自主研发的多项产品已成功申请国家专利。","深圳市中航佳智能科技有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","研发、生产、销售无人机","Not available","Not available","无人机整机","企业单位 ()",NA,2010,0,0,1,NA,"hillsides"
"东莞市光点电子科技有限公司","https://www.81uav.cn/com/sparle/","服务范围：研制、销售无人机","光点科技一直是领先的爱好飞机的设计者和制造商之一。我们的办公室设在香港，而生产基地位于中国的广东省东莞市。因此，我们能够在香港的先进设计技术和现代化商业运作，与东莞的全世界知名的高效和低成本生产结合起来。","东莞市光点电子科技有限公司","广东","","未填写",NA,"已缴纳 0.00 元","贸易商","研制、销售无人机","Not available","Not available","无人机整机","企业单位 (贸易商)",NA,2009,0,0,1,NA,"hillsides"
"深圳特普威科技有限公司","https://www.81uav.cn/com/chinatopwin/","服务范围：遥控玩具车; 遥控玩具飞机; 模型车; 模型车配件; WIFI坦克","深圳特普威科技有限公司成立于2002年，位于中国广东省玩具之乡深圳，我们公司批发各种玩具和模型，如电/气动力模型飞机及配件，各种电动微型的直升机，越野车，赛车和帆船等，我们的产品已出口到50多个国家和地区，并享有在海外市场一个非常良好的信用。","深圳特普威科技有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","遥控玩具车; 遥控玩具飞机; 模型车; 模型车配件; WIFI坦克","Not available","Not available","无人机整机","企业单位 ()",NA,2002,0,0,1,NA,"hillsides"
"东莞聚银辉塑胶模具制品有限公司","https://www.81uav.cn/com/jyhmould/","服务范围：汽车配件、手表配件、航模飞机、玩具、化妆品瓶、办公设备、日用电器、运动用品、手机周边等","东莞聚银辉塑胶模具制品有限公司起初成立于2005年，主要经营精密塑胶、航摸飞机模具专业设计、加工制造，同时为在中国大陆投资设厂的香港、台湾、日本、欧洲、美国客户提供模具设计制造。随着生产订单的日益增加，于2011年6月搬迁至东莞大岭山镇马蹄岗第三工业区，改名为聚银辉塑胶模具制品有限公司。生产规模将扩大3倍，主要经营模具设计制造、塑胶加工，主要制造设备：CNC电脑锣、火花机、线切割、车床、磨床、铣床、注塑机、水温机、油温机、冻水机、搅拌机、粉碎机、吹瓶机、印刷机等高精度设备。车间拥有全方位的电子监控系统，厂区内拥有篮球、羽毛球、台球、乒乓球活动场所，环境优美。 主要生产产品：汽车配件、手表配件、航模飞机、玩具、化妆品瓶、办公设备、日用电器、运动用品、手机周边等。 公司主要部门：注塑部、电子部、工模部、CNC加工部、工程部(CNC编程、模具设计)、 生管部、丝印部、喷油部、烫金部、货仓部、采购部、营业部、财务部、人力资源部(膳食、厂修);拥有完整、科学的质量管理体系。 东莞市聚银辉塑胶模具制品有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。","东莞聚银辉塑胶模具制品有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","汽车配件、手表配件、航模飞机、玩具、化妆品瓶、办公设备、日用电器、运动用品、手机周边等","Not available","Not available","无人机整机","企业单位 ()",NA,2005,0,0,1,NA,"hillsides"
"深圳华品智能系统有限公司","https://www.81uav.cn/com/cvrobot/","服务范围：电视机、显示器、手机平板、电子数码产品、工业机器人、农业机器人、服务业机器人、仿真机器人、无人飞机、伺服控制服务器、变频器、自动化系统和智能系统的技术开发与销售；云服务、网络商务服务、数据库服务、数据库管理、大数据服务；计算机编程、计算机软件设计；企业管理咨询（不含人才中介服务）；投资兴办实业（具体项目另行申报）；国内贸易，货物及技术进出口。（不含再生资源回收经营及法律、行政法规、国务院决定规定在登记前须经批准的项目）电视机、显示器、手机平板、电子数码产品、工业机器人、农业机器人、服务业机器人、仿真机器人","深圳华品智能系统有限公司是一家拥有自主知识产权和核心技术的高科技企业，致力于工业、农业自动化升级改造，提供方案设计、系统实体制造，售后服务、技术培训指导一站式服务。 公司拥有多项国家专利，拥有多名智能系统领域专家、教授、博士以及业内经验丰富的资深设计工程师，并与国家级科研机构合作建立了自动化科研中心。 深圳华品智能系统有限公司成立于2015年，坐落于深圳市南山区南山科技园，是深圳市华品投资控股有限公司响应国家智能制造政策组建的旗下子公司。 深圳华品智能系统有限公司服务项目涉及工业机器人及其应用工程，自动化装配、检测生产线等多领域，涵盖电子、重工、纺织、海水养殖等众多行业，旨在为用户提供完善的解决方案，目前已成功服务于奥飞动漫，特力重工，海安纺织，中洋集团等企业。","深圳华品智能系统有限公司","广东","","未填写",NA,"已缴纳 0.00 元","Not available","电视机、显示器、手机平板、电子数码产品、工业机器人、农业机器人、服务业机器人、仿真机器人、无人飞机、伺服控制服务器、变频器、自动化系统和智能系统的技术开发与销售；云服务、网络商务服务、数据库服务、数据库管理、大数据服务；计算机编程、计算机软件设计；企业管理咨询（不含人才中介服务）；投资兴办实业（具体项目另行申报）；国内贸易，货物及技术进出口。（不含再生资源回收经营及法律、行政法规、国务院决定规定在登记前须经批准的项目）电视机、显示器、手机平板、电子数码产品、工业机器人、农业机器人、服务业机器人、仿真机器人","Not available","Not available","无人机整机","企业单位 ()",NA,2015,0,0,1,NA,"hillsides"
"众德迪克科技（北京）有限公司","https://www.81uav.cn/com/robot4u/","服务范围：制造、销售机器人研发","众德迪克经过两年的不断创新和攻坚克难，凭借其专注于服务类机器人的技术精英团队，成功开发出第一代商用服务机器人产品。该产品以其智能语音交互、高精度人脸识别与云数据平台管理等核心功能获得市场的广泛关注与高度认可。即将问世的智能飞行机器人和家用服务机器人产品也备受期待。 公司崇尚“敬天爱人、厚德载物、自强不息、创造未来”的企业文化，秉承“健康、环保、绿色、和平”的产品理念，整合国内外尖端技术打造民族创新品牌，成为服务机器人行业引领者。","众德迪克科技（北京）有限公司","北京","北京","未填写",NA,"已缴纳 0.00 元","Not available","制造、销售机器人研发","Not available","Not available","无人机整机","企业单位 ()",NA,2012,0,0,1,"Beijing, capital of People's Republic of China","Beijing, capital of People's Republic of China"
"深圳市创客火科技有限公司","https://www.81uav.cn/com/makerfire/","服务范围：电子产品、开源硬件、机电设备、计算机软硬件、塑料与铝合金制品、机器人、人工智能机电产品的技术开发、技术咨询与销售，经济信息咨询","深圳市创客火科技有限公司是开源硬件、智能硬件、航模配件、无人机整机及其配件的研发、定制生产等产品专业生产加工的公司，拥有完整、科学的质量管理体系。深圳市创客火科技有限公司的诚信、实力和产品质量获得业界的认可。欢迎各界朋友莅临参观、指导和业务洽谈。","深圳市创客火科技有限公司","广东","","10万人民币",NA,"已缴纳 0.00 元","Not available","电子产品、开源硬件、机电设备、计算机软硬件、塑料与铝合金制品、机器人、人工智能机电产品的技术开发、技术咨询与销售，经济信息咨询","Not available","Not available","无人机整机","企业单位 ()",NA,2013,0,0,1,NA,"hillsides"
